Clusters Produced:  
Cluster 0: 
Centroid 0 features=[5.005999999999999, 3.4180000000000006, 1.464, 0.2439999999999999, 0.0] label = 0
    001Iris-setosa 0
    002Iris-setosa 0
    003Iris-setosa 0
    004Iris-setosa 0
    005Iris-setosa 0
    006Iris-setosa 0
    007Iris-setosa 0
    008Iris-setosa 0
    009Iris-setosa 0
    010Iris-setosa 0
    011Iris-setosa 0
    012Iris-setosa 0
    013Iris-setosa 0
    014Iris-setosa 0
    015Iris-setosa 0
    016Iris-setosa 0
    017Iris-setosa 0
    018Iris-setosa 0
    019Iris-setosa 0
    020Iris-setosa 0
    021Iris-setosa 0
    022Iris-setosa 0
    023Iris-setosa 0
    024Iris-setosa 0
    025Iris-setosa 0
    026Iris-setosa 0
    027Iris-setosa 0
    028Iris-setosa 0
    029Iris-setosa 0
    030Iris-setosa 0
    031Iris-setosa 0
    032Iris-setosa 0
    033Iris-setosa 0
    034Iris-setosa 0
    035Iris-setosa 0
    036Iris-setosa 0
    037Iris-setosa 0
    038Iris-setosa 0
    039Iris-setosa 0
    040Iris-setosa 0
    041Iris-setosa 0
    042Iris-setosa 0
    043Iris-setosa 0
    044Iris-setosa 0
    045Iris-setosa 0
    046Iris-setosa 0
    047Iris-setosa 0
    048Iris-setosa 0
    049Iris-setosa 0
    050Iris-setosa 0
Cluster 1: 
Centroid 1 features=[5.908163265306122, 2.76530612244898, 4.244897959183673, 1.3183673469387753, 1.0] label = 1
    051Iris-versicolor 1
    052Iris-versicolor 1
    053Iris-versicolor 1
    054Iris-versicolor 1
    055Iris-versicolor 1
    056Iris-versicolor 1
    057Iris-versicolor 1
    058Iris-versicolor 1
    059Iris-versicolor 1
    060Iris-versicolor 1
    061Iris-versicolor 1
    062Iris-versicolor 1
    063Iris-versicolor 1
    064Iris-versicolor 1
    065Iris-versicolor 1
    066Iris-versicolor 1
    067Iris-versicolor 1
    068Iris-versicolor 1
    069Iris-versicolor 1
    070Iris-versicolor 1
    071Iris-versicolor 1
    072Iris-versicolor 1
    073Iris-versicolor 1
    074Iris-versicolor 1
    075Iris-versicolor 1
    076Iris-versicolor 1
    077Iris-versicolor 1
    079Iris-versicolor 1
    080Iris-versicolor 1
    081Iris-versicolor 1
    082Iris-versicolor 1
    083Iris-versicolor 1
    084Iris-versicolor 1
    085Iris-versicolor 1
    086Iris-versicolor 1
    087Iris-versicolor 1
    088Iris-versicolor 1
    089Iris-versicolor 1
    090Iris-versicolor 1
    091Iris-versicolor 1
    092Iris-versicolor 1
    093Iris-versicolor 1
    094Iris-versicolor 1
    095Iris-versicolor 1
    096Iris-versicolor 1
    097Iris-versicolor 1
    098Iris-versicolor 1
    099Iris-versicolor 1
    100Iris-versicolor 1
Cluster 2: 
Centroid 2 features=[6.629411764705881, 2.974509803921568, 5.541176470588234, 2.019607843137255, 1.9803921568627452] label = 2
    078Iris-versicolor 1
    101Iris-virginica 2
    102Iris-virginica 2
    103Iris-virginica 2
    104Iris-virginica 2
    105Iris-virginica 2
    106Iris-virginica 2
    107Iris-virginica 2
    108Iris-virginica 2
    109Iris-virginica 2
    110Iris-virginica 2
    111Iris-virginica 2
    112Iris-virginica 2
    113Iris-virginica 2
    114Iris-virginica 2
    115Iris-virginica 2
    116Iris-virginica 2
    117Iris-virginica 2
    118Iris-virginica 2
    119Iris-virginica 2
    120Iris-virginica 2
    121Iris-virginica 2
    122Iris-virginica 2
    123Iris-virginica 2
    124Iris-virginica 2
    125Iris-virginica 2
    126Iris-virginica 2
    127Iris-virginica 2
    128Iris-virginica 2
    129Iris-virginica 2
    130Iris-virginica 2
    131Iris-virginica 2
    132Iris-virginica 2
    133Iris-virginica 2
    134Iris-virginica 2
    135Iris-virginica 2
    136Iris-virginica 2
    137Iris-virginica 2
    138Iris-virginica 2
    139Iris-virginica 2
    140Iris-virginica 2
    141Iris-virginica 2
    142Iris-virginica 2
    143Iris-virginica 2
    144Iris-virginica 2
    145Iris-virginica 2
    146Iris-virginica 2
    147Iris-virginica 2
    148Iris-virginica 2
    149Iris-virginica 2
    150Iris-virginica 2
